title,feed_type,link,description,date,image,publisher,stocks,_id
F&O Strategy: Apollo Hospitals: Calendar Bear Put Spread,news-article,https://www.thehindubusinessline.com/portfolio/commodity-analysis/fo-strategy-apollo-hospitals-calendar-bear-put-spread/article67238041.ece,"Apollo Hospital Enterprise’s stock (₹4,865.5) is at a crucial point, with support at ₹4,820 and major support at ₹4,595. Immediate resistances are ₹5,021 and ₹5,346, and short-term pressure is expected. In F&O, August futures closed at ₹4,856.70, September at ₹4,947.25, with 8% rollover. Suggested s…",2023-08-26 19:11:57.000,https://pocket-image-cache.com/direct?url=http://bl-i.thgim.com/public/news/qb2gm7/article67238176.ece/alternates/LANDSCAPE_1200/Apollo%20Hospitals,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindubusinessline.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}",[{'sid': 'APLH'}],64ea04d6ef976d312471e506
Buy Apollo Hospitals; target of Rs 5700: Motilal Oswal,news-article,https://www.moneycontrol.com/news/business/stocks/buy-apollo-hospitals-target-of-rs-5700-motilal-oswal-2-11243621.html,"Motilal Oswal is bullish on Apollo Hospitals recommended buy rating on the stock with a target price of Rs 5700 in its research report dated August 12, 2023.",2023-08-23 14:20:57.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2022/12/Buy_4-1-378x213.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}","[{'sid': 'APLH'}, {'sid': 'MOFS'}]",64e5cd12ef976d312471cd07
Navi Mumbai: Apollo Hospitals Conduct 533 Organ Transplants Since 2017,news-article,https://www.freepressjournal.in/mumbai/navi-mumbai-apollo-hospitals-conduct-533-organ-transplants-since-2017,"Apollo’s solid organ transplant program includes heart, lung, kidney and liver transplants, it also includes a specialized organ transplant team. The high success rate is a testament to the team’s dedication and advanced medical technology.",2023-08-22 10:33:39.000,https://pocket-image-cache.com/direct?url=http://gumlet.assettype.com/freepressjournal/2023-08/9fc5d45a-c510-4e59-bb7b-738a5380721e/Hero_Image___2023_08_22T102632_723.jpg?rect=0%2C0%2C3900%2C2048&w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thefreepressjournal.png', 'id': 'www.freepressjournal.in', 'name': 'Free Press Journal'}",[{'sid': 'APLH'}],64e4426fef976d312471c27a
Apollo Hospitals to add about 600 pharmacy stores in FY24,news-article,https://www.thehindubusinessline.com/news/apollo-hospitals-to-add-about-600-pharmacy-stores-in-fy24/article67210331.ece,"Apollo Hospitals will add 500-600 offline pharmacy stores across the country as it is looking to close the current fiscal with ₹10,000 crore in revenues from its omnichannel pharmacy business",2023-08-18 21:27:48.000,https://pocket-image-cache.com/direct?url=http://bl-i.thgim.com/public/incoming/lvo0yf/article67210461.ece/alternates/LANDSCAPE_1200/PRATHAP_C_REDDY_APOLLO_CHAIRMAN_3.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindubusinessline.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}",[{'sid': 'APLH'}],64df8e9bfe5e5e5b7f9760fc
Hold Apollo Hospitals Enterprise; target of Rs 5000: ICICI Securities,news-article,https://www.moneycontrol.com/news/business/stocks/hold-apollo-hospitals-enterprise-target-of-rs-5000-icici-securities-11211731.html,"ICICI Securities recommended hold rating on Apollo Hospitals Enterprise with a target price of Rs 5000 in its research report dated August 14, 2023.",2023-08-18 10:39:55.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2023/08/Hold-3-770x433.png,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}","[{'sid': 'APLH'}, {'sid': 'ICCI'}]",64df0457fe5e5e5b7f975c34
Corporate hospitals to see 8-10 pc revenue growth in FY24: Report,news-article,https://economictimes.indiatimes.com/industry/healthcare/biotech/healthcare/corporate-hospitals-to-see-8-10-pc-revenue-growth-in-fy24-report/articleshow/102811643.cms,"The report is based on the agency’s sample of nine listed hospital chains -- Apollo Hospitals, Aster DM Healthcare, Fortis Healthcare, Healthcare Global Enterprises, Krishna Institute of Medical Sciences, Max Healthcare, Narayana Hrudayalaya, Rainbow Children’s Medicare and Shalby Hospital.",2023-08-17 23:26:00.000,"https://pocket-image-cache.com/direct?url=http://economictimes.indiatimes.com/thumb/msid-102811986,width-1070,height-580,imgsize-1554500,overlay-economictimes/photo.jpg","{'logo': 'https://assets.tickertape.in/images/news-publishers/economictimes.png', 'id': 'economictimes.indiatimes.com', 'name': 'Economic Times'}","[{'sid': 'APLH'}, {'sid': 'ATRD'}, {'sid': 'FOHE'}, {'sid': 'HEAC'}, {'sid': 'MAXE'}, {'sid': 'NARY'}, {'sid': 'SHAY'}, {'sid': 'KIMS'}]",64de6eb3fe5e5e5b7f975a30
"Taking Stock: Last-hour buying to rescue again; Sensex up 138 points, Nifty above 19,450",news-article,https://www.moneycontrol.com/news/business/markets/taking-stock-last-hour-buying-to-rescue-again-sensex-up-138-points-nifty-above-19450-11202621.html,"UltraTech Cement, Apollo Hospitals, NTPC, Infosys and Tata Motors were among the top Nifty gainers, while losers included Tata Steel, Adani Ports, Hindalco Industries, HDFC Life and Bharti Airtel",2023-08-16 15:49:03.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2023/08/Sensex_Nifty-4-770x433.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}","[{'sid': 'APSE'}, {'sid': 'APLH'}, {'sid': 'BRTI'}, {'sid': 'HALC'}, {'sid': 'IDTI'}, {'sid': 'INFY'}, {'sid': 'MIRA'}, {'sid': 'NTPC'}, {'sid': 'TISC'}, {'sid': 'TAMdv'}, {'sid': 'TAMO'}, {'sid': 'ULTC'}, {'sid': '.NSEI'}]",64dcb15efe5e5e5b7f974d9e
Suneeta Reddy on Apollo Hospitals investment and store expansion plans,news-article,https://economictimes.indiatimes.com/markets/expert-view/suneeta-reddy-on-apollo-hospitals-investment-and-store-expansion-plans/articleshow/102715374.cms,"“In the case of pharmacy business, you will see that there will not be deep discounting. The team will look at the market and they will be very rational. They will be very careful on how they plan discounts. But a GMV of Rs 3,000 crore is something that we are on target for.”",2023-08-14 12:25:00.000,"https://pocket-image-cache.com/direct?url=http://economictimes.indiatimes.com/thumb/msid-102715402,width-1070,height-580,imgsize-43716,overlay-etmarkets/photo.jpg","{'logo': 'https://assets.tickertape.in/images/news-publishers/economictimes.png', 'id': 'economictimes.indiatimes.com', 'name': 'Economic Times'}",[{'sid': 'APLH'}],64d9de8075531fe5f76945b0
"Apollo Hospitals down, investors unimpressed but brokerages upbeat about 24/7 future",news-article,https://www.moneycontrol.com/news/business/markets/apollo-hospitals-down-investors-unimpressed-but-brokerages-upbeat-on-247s-future-11173881.html,"Brokerages are optimistic about Apollo 24/7, is the hospital chain’s online pharmacy business, to break even by the end of this fiscal. A strong growth in the core hospitals business also aided optimism",2023-08-14 09:56:50.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2022/05/Apollo-Hospitals-770x433.png,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}",[{'sid': 'APLH'}],64d9aef875531fe5f7694397
Apollo Hospitals Q1 net profit drops 47%,news-article,https://www.thehindubusinessline.com/companies/apollo-hospitals-q1-net-profit-drops-47/article67190316.ece,"Apollo Hospitals Enterprises posted 47% y-o-y decline in Q1FY24 net profit to ₹173cr. Healthcare services vertical reported ₹264cr profit after tax. Consolidated revenue from operations rose 16% to ₹4,418cr. Standalone net profit down 36% to ₹214cr, revenue up 10% to ₹1,688cr. Shares down 1% to ₹4,8…",2023-08-13 13:45:22.000,https://pocket-image-cache.com/direct?url=http://bl-i.thgim.com/public/incoming/bqngy8/article66918729.ece/alternates/LANDSCAPE_1200/Logo2.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindubusinessline.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}",[{'sid': 'APLH'}],64d89305973496fcc0fe83e4
