date,title,feed_type,link,description,image,publisher,stocks,_id
2018-02-01,Budget 2018: Have the headroom to reduce corporate tax rate says Shobana Kamineni,news-article,http://www.moneycontrol.com/news/business/economy/budget-2018-have-the-headroom-to-reduce-corporate-tax-rate-says-shobana-kamineni-2496941.html,"In an interview with CNBC-TV18, Shobana Kamineni, President of CII and Executive Vice Chairperson at Apollo Hospitals Enterprise Limited, Ajit Gulabchand, Chairman & MD at HCC, Vinayak Chatterjee, Chairman at Feedback Infra Private Limited, Shyamal Mukherjee, Chairman at PwC, and Rajiv Memani of Ernst & Young LLP shared their expectations from Union Budget 2018.",https://pocket-image-cache.com/direct?url=http://static-news.moneycontrol.com/static-mcnews/2018/01/Arun-Jaitley_Budget-2018_--770x433.png,"{'logo': 'https://www.smallcase.com/images/newslogos/Moneycontrol.png', 'name': 'Moneycontrol'}","[{'sid': 'APLH', 'initialPrice': 1162.8}, {'sid': 'HCNS', 'initialPrice': 39.3}]",['5a72c2219943eb6e6035d4d7']
2018-02-15,Apollo Hospitals Q3 net down 7.40 %,news-article,https://www.thehindubusinessline.com/companies/apollo-hospitals-q3-net-down-740/article22753366.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,"Apollo Hospitals Enterprise today reported a 7.4 per cent decline in standalone net profit at ₹ 67.44 crore for the third quarter ended December 31, 2017 on account of higher expenses. The company had",https://pocket-image-cache.com/direct?url=http://www.thehindubusinessline.com/static/theme/default/base/img/og-image.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'name': 'The Hindu Businessline'}","[{'sid': 'APLH', 'initialPrice': 1191.8}]",['5a853724824da4795f24f1be']
2018-06-06,"Hold  Apollo Hospitals Enterprise, target Rs  990:   ICICI Direct",news-article,https://economictimes.indiatimes.com/markets/stocks/recos/hold-apollo-hospitals-enterprise-target-rs-990-icici-direct/articleshow/64473356.cms,Hold  Apollo Hospitals Enterprise Ltd.  at a price target of Rs  990.0    .,https://pocket-image-cache.com/direct?url=http://img.etimg.com/photo/49057298.cms,"{'logo': 'https://www.smallcase.com/images/newslogos/TheEconomicTimes.png', 'name': 'Economic Times'}","[{'sid': 'APLH', 'initialPrice': 939.8}]",['5b1763f65d4e3c6a8fd6c9d3']
2018-07-06,Apollo acquires 50% stake in Lucknow’s Medics International for ₹91 crore,news-article,https://www.thehindubusinessline.com/news/apollo-acquires-50-stake-in-lucknows-medics-international-for-91-crore/article24342905.ece,"Apollo Hospitals Enterprise Ltd has acquired a 50 per cent stake in Medics International Lifesciences Ltd, a 330-bed super-speciality hospital in Lucknow, for ₹91 crore.The acquisition is through a p",https://pocket-image-cache.com/direct?url=http://www.thehindubusinessline.com/static/theme/default/base/img/og-image.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'name': 'The Hindu Businessline'}","[{'sid': 'APLH', 'initialPrice': 1048.15}]",['5b3ef070c2ec3731b613fee6']
2018-09-18,Apollo Hospitals celebrates 35th anniversary,news-article,https://www.thehindubusinessline.com/companies/apollo-hospitals-celebrates-35th-anniversary/article24979715.ece,"Apollo Hospitals Chennai, a flagship of Apollo Hospitals Enterprise Ltd and the country’s first corporate hospital, marked its 35th anniversary here on Tuesday.Launched in 1983, it now has 904 beds in",https://pocket-image-cache.com/direct?url=http://www.thehindubusinessline.com/static/theme/default/base/img/og-image.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'name': 'The Hindu Businessline'}","[{'sid': 'APLH', 'initialPrice': 1119.2}]",['5ba1366bf9688439d5a7d20f']
2018-09-28,Apollo Hospitals gets shareholders’ nod to raise ₹ 500 cr via NCDs,news-article,https://www.thehindubusinessline.com/companies/apollo-hospitals-gets-shareholders-nod-to-raise-500-cr-via-ncds/article25071460.ece,Healthcare major Apollo Hospitals Enterprise on Friday said it has received shareholders’ nod to raise up to ₹ 500 crore through issuance of non-convertible debentures (NCD) on a private placement bas,https://pocket-image-cache.com/direct?url=http://www.thehindubusinessline.com/static/theme/default/base/img/og-image.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'name': 'The Hindu Businessline'}","[{'sid': 'APLH', 'initialPrice': 1067.55}]",['5bae656c131bcf1f8739326e']
2018-11-14,Apollo Hospitals to divest front-end pharmacy business | Apollo Hospitals Enterprise Q2 net profit up 11%,news-article | news-article,https://economictimes.indiatimes.com/industry/healthcare/biotech/healthcare/apollo-hospitals-to-divest-front-end-pharmacy-business/articleshow/66621630.cms | https://www.livemint.com/Home-Page/tKopVn05XHMVfVtWXhPfoL/Apollo-Hospitals-Enterprise-Q2-net-profit-up-11.html,"Apollo Pharmacy Ltd (APL) will be a wholly-owned subsidiary of Apollo Medicals Pvt Ltd (AMPL) in which Apollo Hospitals Enterprise Ltd (AHEL) will have a 25.5 per cent stake. | Apollo Hospitals Enterprise  reported a standalone net profit of  Rs 78.98 crore for the quarter ended September 30, 2018 against  Rs 70.90 crore  a year ago","https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-66621656,width-1070,height-580,imgsize-191400,overlay-economictimes/photo.jpg","{'logo': 'https://www.smallcase.com/images/newslogos/TheEconomicTimes.png', 'name': 'Economic Times'} | {'logo': 'https://www.smallcase.com/images/newslogos/Livemint.png', 'name': 'Livemint'}","[{'sid': 'APLH', 'initialPrice': 1143.6}] | [{'sid': 'APLH', 'initialPrice': 1143.6}]","['5bec5c008157b8325b4d4cae', '5bec157adeac4f27a34cf3a0']"
2018-11-15,Apollo Hospitals to hive off retail pharmacy business into new company,news-article,https://economictimes.indiatimes.com/industry/healthcare/biotech/pharmaceuticals/apollo-hospitals-to-hive-off-retail-pharmacy-business-into-new-company/articleshow/66626339.cms,"Apollo Pharmacy (APL) will be a wholly owned subsidiary of Apollo Medicals. The listed parent company, Apollo Hospitals Enterprise will hold 25.5% stake in Apollo Medicals (AMPL) . ","https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-66626384,width-1070,height-580,imgsize-529729,overlay-economictimes/photo.jpg","{'logo': 'https://www.smallcase.com/images/newslogos/TheEconomicTimes.png', 'name': 'Economic Times'}","[{'sid': 'APLH', 'initialPrice': 1168.05}]",['5becf700a4b026466264ae53']
2018-11-27,Apollo Hospitals Enterprise expands to Kerala with super-speciality hospital,news-article,https://economictimes.indiatimes.com/industry/healthcare/biotech/healthcare/apollo-hospitals-enterprise-expands-to-kerala-with-super-speciality-hospital/articleshow/66830833.cms,"The Apollo Adlux Hospital, scheduled to begin operations in four to six months.","https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-66830997,width-1070,height-580,imgsize-102357,overlay-economictimes/photo.jpg","{'logo': 'https://www.smallcase.com/images/newslogos/TheEconomicTimes.png', 'name': 'Economic Times'}","[{'sid': 'APLH', 'initialPrice': 1250.15}]",['5bfd7f5bd728f8330643e45e']
2018-12-05,Apollo Hospitals pharmacy biz hive-off will have neutral impact on AHEL,news-article,https://www.business-standard.com/article/companies/apollo-hospitals-pharmacy-biz-hive-off-will-have-neutral-impact-on-ahel-118120500455_1.html,Apollo Hospitals Enterprise Ltd had said last month that the move was part of a restructuring exercise,https://pocket-image-cache.com/direct?url=http://bsmedia.business-standard.com/_media/bs/img/article/2017-03/25/full/1490460245-1594.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/BusinessStandard.png', 'name': 'Business Standard'}","[{'sid': 'APLH', 'initialPrice': 1243.55}]",['5c07c4fc4a12921321561420']
